,code,date,sp,wp
0,000001,2016-09-01,-1.4968387776606955,-1.497285440049518
1,000001,2016-09-02,-1.5063626723223755,-1.5087808118770332
2,000001,2016-09-03,-1.5063626723223755,-1.5087808118770332
3,000001,2016-09-04,-1.5063626723223755,-1.5087808118770332
4,000001,2016-09-05,-1.496828752642706,-1.4984445900171062
5,000001,2016-09-06,-1.5042462845010616,-1.497029271614359
6,000001,2016-09-07,-1.5010626992561105,-1.4865955415954044
7,000001,2016-09-08,-1.502129925452609,-1.502776626915839
8,000001,2016-09-09,-1.498936170212766,-1.497674589992529
9,000001,2016-09-10,-1.498936170212766,-1.497674589992529
10,000001,2016-09-11,-1.498936170212766,-1.497674589992529
11,000001,2016-09-12,-1.5118406889128095,-1.5261379807240572
12,000001,2016-09-13,-1.5119825708061,-1.5056812321222668
13,000001,2016-09-14,-1.5010905125408942,-1.5049866115108237
0,000002,2016-09-01,-1.4072,-1.497285440049518
1,000002,2016-09-02,-1.58038029386344,-1.5087808118770332
2,000002,2016-09-03,-1.58038029386344,-1.5087808118770332
3,000002,2016-09-04,-1.58038029386344,-1.5087808118770332
4,000002,2016-09-05,-1.480508474576271,-1.4984445900171062
5,000002,2016-09-06,-1.5085470085470087,-1.497029271614359
6,000002,2016-09-07,-1.494052676295667,-1.4865955415954044
7,000002,2016-09-08,-1.5133448127421438,-1.502776626915839
8,000002,2016-09-09,-1.4885106382978723,-1.497674589992529
9,000002,2016-09-10,-1.4885106382978723,-1.497674589992529
10,000002,2016-09-11,-1.4885106382978723,-1.497674589992529
11,000002,2016-09-12,-1.5398230088495575,-1.5261379807240572
12,000002,2016-09-13,-1.466638152266895,-1.5056812321222668
13,000002,2016-09-14,-1.5012847965738756,-1.5049866115108237
0,000005,2016-09-01,-1.4946524064171123,-1.497285440049518
1,000005,2016-09-02,-1.5204638472032743,-1.5087808118770332
2,000005,2016-09-03,-1.5204638472032743,-1.5087808118770332
3,000005,2016-09-04,-1.5204638472032743,-1.5087808118770332
4,000005,2016-09-05,-1.4986376021798364,-1.4984445900171062
5,000005,2016-09-06,-1.5,-1.497029271614359
6,000005,2016-09-07,-1.4839142091152815,-1.4865955415954044
7,000005,2016-09-08,-1.4907038512616202,-1.502776626915839
8,000005,2016-09-09,-1.4881889763779528,-1.497674589992529
9,000005,2016-09-10,-1.4881889763779528,-1.497674589992529
10,000005,2016-09-11,-1.4881889763779528,-1.497674589992529
11,000005,2016-09-12,-1.5424076607387143,-1.5261379807240572
12,000005,2016-09-13,-1.4959128065395095,-1.5056812321222668
13,000005,2016-09-14,-1.494579945799458,-1.5049866115108237
0,000006,2016-09-01,-1.475323149236193,-1.497285440049518
1,000006,2016-09-02,-1.5454545454545454,-1.5087808118770332
2,000006,2016-09-03,-1.5454545454545454,-1.5087808118770332
3,000006,2016-09-04,-1.5454545454545454,-1.5087808118770332
4,000006,2016-09-05,-1.5,-1.4984445900171062
5,000006,2016-09-06,-1.4926829268292685,-1.497029271614359
6,000006,2016-09-07,-1.4963547995139732,-1.4865955415954044
7,000006,2016-09-08,-1.5061124694376529,-1.502776626915839
8,000006,2016-09-09,-1.493924665856622,-1.497674589992529
9,000006,2016-09-10,-1.493924665856622,-1.497674589992529
10,000006,2016-09-11,-1.493924665856622,-1.497674589992529
11,000006,2016-09-12,-1.4856287425149701,-1.5261379807240572
12,000006,2016-09-13,-1.4027027027027026,-1.5056812321222668
13,000006,2016-09-14,-1.4871931696905016,-1.5049866115108237
0,000007,2016-09-01,-1.439111111111111,-1.497285440049518
1,000007,2016-09-02,-1.51763907734057,-1.5087808118770332
2,000007,2016-09-03,-1.51763907734057,-1.5087808118770332
3,000007,2016-09-04,-1.51763907734057,-1.5087808118770332
4,000007,2016-09-05,-1.4995479204339963,-1.4984445900171062
5,000007,2016-09-06,-1.5146788990825688,-1.497029271614359
6,000007,2016-09-07,-1.4841986455981941,-1.4865955415954044
7,000007,2016-09-08,-1.5068181818181818,-1.502776626915839
8,000007,2016-09-09,-1.5119595216191353,-1.497674589992529
9,000007,2016-09-10,-1.5119595216191353,-1.497674589992529
10,000007,2016-09-11,-1.5119595216191353,-1.497674589992529
11,000007,2016-09-12,-1.5074142724745134,-1.5261379807240572
12,000007,2016-09-13,-1.5027881040892193,-1.5056812321222668
13,000007,2016-09-14,-1.5051377860812705,-1.5049866115108237
0,000008,2016-09-01,-1.481151832460733,-1.497285440049518
1,000008,2016-09-02,-1.5202991452991454,-1.5087808118770332
2,000008,2016-09-03,-1.5202991452991454,-1.5087808118770332
3,000008,2016-09-04,-1.5202991452991454,-1.5087808118770332
4,000008,2016-09-05,-1.497867803837953,-1.4984445900171062
5,000008,2016-09-06,-1.501067235859125,-1.497029271614359
6,000008,2016-09-07,-1.5021390374331551,-1.4865955415954044
7,000008,2016-09-08,-1.5021436227224008,-1.502776626915839
8,000008,2016-09-09,-1.5,-1.497674589992529
9,000008,2016-09-10,-1.5,-1.497674589992529
10,000008,2016-09-11,-1.5,-1.497674589992529
11,000008,2016-09-12,-1.4914984059511158,-1.5261379807240572
12,000008,2016-09-13,-1.5161987041036717,-1.5056812321222668
13,000008,2016-09-14,-1.5043383947939262,-1.5049866115108237
0,000009,2016-09-01,-1.4858030168589174,-1.497285440049518
1,000009,2016-09-02,-1.5035618878005341,-1.5087808118770332
2,000009,2016-09-03,-1.5035618878005341,-1.5087808118770332
3,000009,2016-09-04,-1.5035618878005341,-1.5087808118770332
4,000009,2016-09-05,-1.4982222222222223,-1.4984445900171062
5,000009,2016-09-06,-1.493816254416961,-1.497029271614359
6,000009,2016-09-07,-1.4860627177700347,-1.4865955415954044
7,000009,2016-09-08,-1.5114537444933922,-1.502776626915839
8,000009,2016-09-09,-1.5115864527629232,-1.497674589992529
9,000009,2016-09-10,-1.5115864527629232,-1.497674589992529
10,000009,2016-09-11,-1.5115864527629232,-1.497674589992529
11,000009,2016-09-12,-1.5153846153846153,-1.5261379807240572
12,000009,2016-09-13,-1.5336763330215155,-1.5056812321222668
13,000009,2016-09-14,-1.467420814479638,-1.5049866115108237
0,000010,2016-09-01,-1.4879227053140096,-1.497285440049518
1,000010,2016-09-02,-1.5060753341433777,-1.5087808118770332
2,000010,2016-09-03,-1.5060753341433777,-1.5087808118770332
3,000010,2016-09-04,-1.5060753341433777,-1.5087808118770332
4,000010,2016-09-05,-1.5061124694376529,-1.4984445900171062
5,000010,2016-09-06,-1.493924665856622,-1.497029271614359
6,000010,2016-09-07,-1.468235294117647,-1.4865955415954044
7,000010,2016-09-08,-1.4330406147091108,-1.502776626915839
8,000010,2016-09-09,-1.515607580824972,-1.497674589992529
9,000010,2016-09-10,-1.515607580824972,-1.497674589992529
10,000010,2016-09-11,-1.515607580824972,-1.497674589992529
11,000010,2016-09-12,-1.5310344827586209,-1.5261379807240572
12,000010,2016-09-13,-1.4830508474576272,-1.5056812321222668
13,000010,2016-09-14,-1.5079726651480638,-1.5049866115108237
0,000011,2016-09-01,-1.4877340219496449,-1.497285440049518
1,000011,2016-09-02,-1.5326666666666666,-1.5087808118770332
2,000011,2016-09-03,-1.5326666666666666,-1.5087808118770332
3,000011,2016-09-04,-1.5326666666666666,-1.5087808118770332
4,000011,2016-09-05,-1.5121457489878543,-1.4984445900171062
5,000011,2016-09-06,-1.4827586206896552,-1.497029271614359
6,000011,2016-09-07,-1.4986754966887417,-1.4865955415954044
7,000011,2016-09-08,-1.5006626905235254,-1.502776626915839
8,000011,2016-09-09,-1.5,-1.497674589992529
9,000011,2016-09-10,-1.5,-1.497674589992529
10,000011,2016-09-11,-1.5,-1.497674589992529
11,000011,2016-09-12,-1.541407867494824,-1.5261379807240572
12,000011,2016-09-13,-1.4602385685884691,-1.5056812321222668
13,000011,2016-09-14,-1.4921104536489151,-1.5049866115108237
0,000012,2016-09-01,-1.4967213114754099,-1.497285440049518
1,000012,2016-09-02,-1.5330228619813717,-1.5087808118770332
2,000012,2016-09-03,-1.5330228619813717,-1.5087808118770332
3,000012,2016-09-04,-1.5330228619813717,-1.5087808118770332
4,000012,2016-09-05,-1.5008474576271187,-1.4984445900171062
5,000012,2016-09-06,-1.484974958263773,-1.497029271614359
6,000012,2016-09-07,-1.487633965375103,-1.4865955415954044
7,000012,2016-09-08,-1.511676396997498,-1.502776626915839
8,000012,2016-09-09,-1.505029337803856,-1.497674589992529
9,000012,2016-09-10,-1.505029337803856,-1.497674589992529
10,000012,2016-09-11,-1.505029337803856,-1.497674589992529
11,000012,2016-09-12,-1.5329004329004328,-1.5261379807240572
12,000012,2016-09-13,-1.5149384885764499,-1.5056812321222668
13,000012,2016-09-14,-1.5070796460176992,-1.5049866115108237
0,000014,2016-09-01,-1.472450459159014,-1.497285440049518
1,000014,2016-09-02,-1.5068126520681266,-1.5087808118770332
2,000014,2016-09-03,-1.5068126520681266,-1.5087808118770332
3,000014,2016-09-04,-1.5068126520681266,-1.5087808118770332
4,000014,2016-09-05,-1.515316205533597,-1.4984445900171062
5,000014,2016-09-06,-1.5,-1.497029271614359
6,000014,2016-09-07,-1.5009891196834817,-1.4865955415954044
7,000014,2016-09-08,-1.507976071784646,-1.502776626915839
8,000014,2016-09-09,-1.4955334987593052,-1.497674589992529
9,000014,2016-09-10,-1.4955334987593052,-1.497674589992529
10,000014,2016-09-11,-1.4955334987593052,-1.497674589992529
11,000014,2016-09-12,-1.5004965243296922,-1.5261379807240572
12,000014,2016-09-13,-1.5064967516241878,-1.5056812321222668
13,000014,2016-09-14,-1.5030075187969927,-1.5049866115108237
0,000016,2016-09-01,-1.5038610038610039,-1.497285440049518
1,000016,2016-09-02,-1.5196850393700787,-1.5087808118770332
2,000016,2016-09-03,-1.5196850393700787,-1.5087808118770332
3,000016,2016-09-04,-1.5196850393700787,-1.5087808118770332
4,000016,2016-09-05,-1.5019723865877712,-1.4984445900171062
5,000016,2016-09-06,-1.4980314960629921,-1.497029271614359
6,000016,2016-09-07,-1.49412915851272,-1.4865955415954044
7,000016,2016-09-08,-1.5078895463510849,-1.502776626915839
8,000016,2016-09-09,-1.5,-1.497674589992529
9,000016,2016-09-10,-1.5,-1.497674589992529
10,000016,2016-09-11,-1.5,-1.497674589992529
11,000016,2016-09-12,-1.5346938775510204,-1.5261379807240572
12,000016,2016-09-13,-1.512396694214876,-1.5056812321222668
13,000016,2016-09-14,-1.5062370062370063,-1.5049866115108237
0,000017,2016-09-01,-1.5099818511796734,-1.497285440049518
1,000017,2016-09-02,-1.5203703703703704,-1.5087808118770332
2,000017,2016-09-03,-1.5203703703703704,-1.5087808118770332
3,000017,2016-09-04,-1.5203703703703704,-1.5087808118770332
4,000017,2016-09-05,-1.5102899906454632,-1.4984445900171062
5,000017,2016-09-06,-1.4962721342031686,-1.497029271614359
6,000017,2016-09-07,-1.492599444958372,-1.4865955415954044
7,000017,2016-09-08,-1.4981532779316713,-1.502776626915839
8,000017,2016-09-09,-1.5074418604651163,-1.497674589992529
9,000017,2016-09-10,-1.5074418604651163,-1.497674589992529
10,000017,2016-09-11,-1.5074418604651163,-1.497674589992529
11,000017,2016-09-12,-1.512241054613936,-1.5261379807240572
12,000017,2016-09-13,-1.5066350710900474,-1.5056812321222668
13,000017,2016-09-14,-1.4990530303030303,-1.5049866115108237
0,000018,2016-09-01,-1.5128440366972475,-1.497285440049518
1,000018,2016-09-02,-1.5167910447761195,-1.5087808118770332
2,000018,2016-09-03,-1.5167910447761195,-1.5087808118770332
3,000018,2016-09-04,-1.5167910447761195,-1.5087808118770332
4,000018,2016-09-05,-1.4944341372912802,-1.4984445900171062
5,000018,2016-09-06,-1.4889908256880733,-1.497029271614359
6,000018,2016-09-07,-1.4646017699115044,-1.4865955415954044
7,000018,2016-09-08,-1.4511784511784511,-1.502776626915839
8,000018,2016-09-09,-1.5285714285714285,-1.497674589992529
9,000018,2016-09-10,-1.5285714285714285,-1.497674589992529
10,000018,2016-09-11,-1.5285714285714285,-1.497674589992529
11,000018,2016-09-12,-1.55,-1.5261379807240572
12,000018,2016-09-13,-1.5045662100456623,-1.5056812321222668
13,000018,2016-09-14,-1.5167130919220055,-1.5049866115108237
0,000019,2016-09-01,-1.4976033553025763,-1.497285440049518
1,000019,2016-09-02,-1.5296113510178901,-1.5087808118770332
2,000019,2016-09-03,-1.5296113510178901,-1.5087808118770332
3,000019,2016-09-04,-1.5296113510178901,-1.5087808118770332
4,000019,2016-09-05,-1.477683956574186,-1.4984445900171062
5,000019,2016-09-06,-1.4656377402446126,-1.497029271614359
6,000019,2016-09-07,-1.504093567251462,-1.4865955415954044
7,000019,2016-09-08,-1.522115959354453,-1.502776626915839
8,000019,2016-09-09,-1.5164034021871202,-1.497674589992529
9,000019,2016-09-10,-1.5164034021871202,-1.497674589992529
10,000019,2016-09-11,-1.5164034021871202,-1.497674589992529
11,000019,2016-09-12,-1.568831168831169,-1.5261379807240572
12,000019,2016-09-13,-1.4765377298668358,-1.5056812321222668
13,000019,2016-09-14,-1.5038192234245702,-1.5049866115108237
0,000020,2016-09-01,-1.4404545454545454,-1.497285440049518
1,000020,2016-09-02,-1.5031919744642044,-1.5087808118770332
2,000020,2016-09-03,-1.5031919744642044,-1.5087808118770332
3,000020,2016-09-04,-1.5031919744642044,-1.5087808118770332
4,000020,2016-09-05,-1.453478260869565,-1.4984445900171062
5,000020,2016-09-06,-1.4762308998302207,-1.497029271614359
6,000020,2016-09-07,-1.5059777967549102,-1.4865955415954044
7,000020,2016-09-08,-1.5112262521588946,-1.502776626915839
8,000020,2016-09-09,-1.496986655187258,-1.497674589992529
9,000020,2016-09-10,-1.496986655187258,-1.497674589992529
10,000020,2016-09-11,-1.496986655187258,-1.497674589992529
11,000020,2016-09-12,-1.552560036248301,-1.5261379807240572
12,000020,2016-09-13,-1.5100686498855835,-1.5056812321222668
13,000020,2016-09-14,-1.5106382978723405,-1.5049866115108237
0,000021,2016-09-01,-1.5164835164835164,-1.497285440049518
1,000021,2016-09-02,-1.5139275766016713,-1.5087808118770332
2,000021,2016-09-03,-1.5139275766016713,-1.5087808118770332
3,000021,2016-09-04,-1.5139275766016713,-1.5087808118770332
4,000021,2016-09-05,-1.5009293680297398,-1.4984445900171062
5,000021,2016-09-06,-1.5018621973929236,-1.497029271614359
6,000021,2016-09-07,-1.4623655913978495,-1.4865955415954044
7,000021,2016-09-08,-1.508130081300813,-1.502776626915839
8,000021,2016-09-09,-1.484,-1.497674589992529
9,000021,2016-09-10,-1.484,-1.497674589992529
10,000021,2016-09-11,-1.484,-1.497674589992529
11,000021,2016-09-12,-1.5514018691588787,-1.5261379807240572
