date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,8.7,8.81,8.63,8.58,83462.49,-0.12,-1.37,8.766,8.763,8.665,146202.46,174845.61,174658.92,1.5
2016-09-13,8.57,8.75,8.75,8.56,100188.35,0.22,2.58,8.828,8.786,8.668,191900.43,188118.65,185856.36,1.8
2016-09-12,8.7,8.8,8.53,8.47,136440.22,-0.31,-3.51,8.846,8.811,8.644,205387.29,218831.07,186545.97,2.45
2016-09-09,9.05,9.13,8.84,8.84,167554.45,-0.24,-2.64,8.92,8.835,8.632,230646.41,236126.52,186924.51,3.01
2016-09-08,9.01,9.23,9.08,8.92,243366.8,0.14,1.57,8.856,8.78,8.597,224343.42,225103.14,183001.44,4.37
2016-09-07,8.84,9.25,8.94,8.8,311952.31,0.1,1.13,8.76,8.704,8.541,203488.75,207177.68,173815.78,5.6
2016-09-06,8.87,8.9,8.84,8.65,167622.66,-0.06,-0.67,8.744,8.648,8.497,184336.87,182068.79,162224.3,3.01
2016-09-05,8.57,8.95,8.9,8.48,262735.81,0.38,4.46,8.776,8.605,8.464,232274.84,172368.97,160111.5,4.71
2016-09-02,8.61,8.67,8.52,8.4,136039.52,-0.08,-0.93,8.75,8.552,8.423,241606.63,158923.22,151636.61,2.44
2016-09-01,8.8,8.88,8.6,8.6,139093.47,-0.26,-2.94,8.704,8.566,8.395,225862.87,162330.42,149048.98,2.5
2016-08-31,8.85,8.93,8.86,8.65,216192.88,-0.14,-1.56,8.648,8.566,8.372,210866.6,174472.22,148925.59,3.88
