,code,date,sp,wp
0,000002,2016-08-31,-1.5119047619047619,invalid code
1,000002,2016-09-01,-1.4072,invalid code
2,000002,2016-09-02,-1.58038029386344,invalid code
3,000002,2016-09-03,-1.58038029386344,invalid code
4,000002,2016-09-04,-1.58038029386344,invalid code
5,000002,2016-09-05,-1.480508474576271,invalid code
6,000002,2016-09-06,-1.5085470085470087,invalid code
7,000002,2016-09-07,-1.494052676295667,invalid code
8,000002,2016-09-08,-1.5133448127421438,invalid code
9,000002,2016-09-09,-1.4885106382978723,invalid code
10,000002,2016-09-10,-1.4885106382978723,invalid code
11,000002,2016-09-11,-1.4885106382978723,invalid code
12,000002,2016-09-12,-1.5398230088495575,invalid code
13,000002,2016-09-13,-1.466638152266895,invalid code
14,000002,2016-09-14,-1.5012847965738756,invalid code
0,000005,2016-08-31,-1.5094086021505375,invalid code
1,000005,2016-09-01,-1.4946524064171123,invalid code
2,000005,2016-09-02,-1.5204638472032743,invalid code
3,000005,2016-09-03,-1.5204638472032743,invalid code
4,000005,2016-09-04,-1.5204638472032743,invalid code
5,000005,2016-09-05,-1.4986376021798364,invalid code
6,000005,2016-09-06,-1.5,invalid code
7,000005,2016-09-07,-1.4839142091152815,invalid code
8,000005,2016-09-08,-1.4907038512616202,invalid code
9,000005,2016-09-09,-1.4881889763779528,invalid code
10,000005,2016-09-10,-1.4881889763779528,invalid code
11,000005,2016-09-11,-1.4881889763779528,invalid code
12,000005,2016-09-12,-1.5424076607387143,invalid code
13,000005,2016-09-13,-1.4959128065395095,invalid code
14,000005,2016-09-14,-1.494579945799458,invalid code
0,000006,2016-08-31,-1.5024096385542167,invalid code
1,000006,2016-09-01,-1.475323149236193,invalid code
2,000006,2016-09-02,-1.5454545454545454,invalid code
3,000006,2016-09-03,-1.5454545454545454,invalid code
4,000006,2016-09-04,-1.5454545454545454,invalid code
5,000006,2016-09-05,-1.5,invalid code
6,000006,2016-09-06,-1.4926829268292685,invalid code
7,000006,2016-09-07,-1.4963547995139732,invalid code
8,000006,2016-09-08,-1.5061124694376529,invalid code
9,000006,2016-09-09,-1.493924665856622,invalid code
10,000006,2016-09-10,-1.493924665856622,invalid code
11,000006,2016-09-11,-1.493924665856622,invalid code
12,000006,2016-09-12,-1.4856287425149701,invalid code
13,000006,2016-09-13,-1.4027027027027026,invalid code
14,000006,2016-09-14,-1.4871931696905016,invalid code
0,000007,2016-08-31,-1.4891150023663038,invalid code
1,000007,2016-09-01,-1.439111111111111,invalid code
2,000007,2016-09-02,-1.51763907734057,invalid code
3,000007,2016-09-03,-1.51763907734057,invalid code
4,000007,2016-09-04,-1.51763907734057,invalid code
5,000007,2016-09-05,-1.4995479204339963,invalid code
6,000007,2016-09-06,-1.5146788990825688,invalid code
7,000007,2016-09-07,-1.4841986455981941,invalid code
8,000007,2016-09-08,-1.5068181818181818,invalid code
9,000007,2016-09-09,-1.5119595216191353,invalid code
10,000007,2016-09-10,-1.5119595216191353,invalid code
11,000007,2016-09-11,-1.5119595216191353,invalid code
12,000007,2016-09-12,-1.5074142724745134,invalid code
13,000007,2016-09-13,-1.5027881040892193,invalid code
14,000007,2016-09-14,-1.5051377860812705,invalid code
0,000008,2016-08-31,-1.5,invalid code
1,000008,2016-09-01,-1.481151832460733,invalid code
2,000008,2016-09-02,-1.5202991452991454,invalid code
3,000008,2016-09-03,-1.5202991452991454,invalid code
4,000008,2016-09-04,-1.5202991452991454,invalid code
5,000008,2016-09-05,-1.497867803837953,invalid code
6,000008,2016-09-06,-1.501067235859125,invalid code
7,000008,2016-09-07,-1.5021390374331551,invalid code
8,000008,2016-09-08,-1.5021436227224008,invalid code
9,000008,2016-09-09,-1.5,invalid code
10,000008,2016-09-10,-1.5,invalid code
11,000008,2016-09-11,-1.5,invalid code
12,000008,2016-09-12,-1.4914984059511158,invalid code
13,000008,2016-09-13,-1.5161987041036717,invalid code
14,000008,2016-09-14,-1.5043383947939262,invalid code
0,000009,2016-08-31,-1.509000900090009,invalid code
1,000009,2016-09-01,-1.4858030168589174,invalid code
2,000009,2016-09-02,-1.5035618878005341,invalid code
3,000009,2016-09-03,-1.5035618878005341,invalid code
4,000009,2016-09-04,-1.5035618878005341,invalid code
5,000009,2016-09-05,-1.4982222222222223,invalid code
6,000009,2016-09-06,-1.493816254416961,invalid code
7,000009,2016-09-07,-1.4860627177700347,invalid code
8,000009,2016-09-08,-1.5114537444933922,invalid code
9,000009,2016-09-09,-1.5115864527629232,invalid code
10,000009,2016-09-10,-1.5115864527629232,invalid code
11,000009,2016-09-11,-1.5115864527629232,invalid code
12,000009,2016-09-12,-1.5153846153846153,invalid code
13,000009,2016-09-13,-1.5336763330215155,invalid code
14,000009,2016-09-14,-1.467420814479638,invalid code
0,000010,2016-08-31,-1.5232273838630805,invalid code
1,000010,2016-09-01,-1.4879227053140096,invalid code
2,000010,2016-09-02,-1.5060753341433777,invalid code
3,000010,2016-09-03,-1.5060753341433777,invalid code
4,000010,2016-09-04,-1.5060753341433777,invalid code
5,000010,2016-09-05,-1.5061124694376529,invalid code
6,000010,2016-09-06,-1.493924665856622,invalid code
7,000010,2016-09-07,-1.468235294117647,invalid code
8,000010,2016-09-08,-1.4330406147091108,invalid code
9,000010,2016-09-09,-1.515607580824972,invalid code
10,000010,2016-09-10,-1.515607580824972,invalid code
11,000010,2016-09-11,-1.515607580824972,invalid code
12,000010,2016-09-12,-1.5310344827586209,invalid code
13,000010,2016-09-13,-1.4830508474576272,invalid code
14,000010,2016-09-14,-1.5079726651480638,invalid code
0,000011,2016-08-31,-1.5026143790849673,invalid code
1,000011,2016-09-01,-1.4877340219496449,invalid code
2,000011,2016-09-02,-1.5326666666666666,invalid code
3,000011,2016-09-03,-1.5326666666666666,invalid code
4,000011,2016-09-04,-1.5326666666666666,invalid code
5,000011,2016-09-05,-1.5121457489878543,invalid code
6,000011,2016-09-06,-1.4827586206896552,invalid code
