,turnover,code
0,0.81,000002
1,0.91,000002
2,1.42,000002
3,0.91,000002
4,1.47,000002
5,0.82,000002
6,1.01,000002
7,1.06,000002
8,1.98,000002
9,2.64,000002
10,2.45,000002
0,0.96,000005
1,1.07,000005
2,1.55,000005
3,1.5,000005
4,2.22,000005
5,4.41,000005
6,1.33,000005
7,0.65,000005
8,1.02,000005
9,1.19,000005
10,1.55,000005
0,8.6,000006
1,14.14,000006
2,4.41,000006
3,0.83,000006
4,0.85,000006
5,0.98,000006
6,1.04,000006
7,1.02,000006
8,1.1,000006
9,1.83,000006
10,2.05,000006
0,2.08,000007
1,1.8,000007
2,3.75,000007
3,2.84,000007
4,2.58,000007
5,2.97,000007
6,5.18,000007
7,3.08,000007
8,3.88,000007
9,5.47,000007
10,5.29,000007
0,0.4,000008
1,0.43,000008
2,0.74,000008
3,1.7,000008
4,0.39,000008
5,0.49,000008
6,0.43,000008
7,0.29,000008
8,0.31,000008
9,0.47,000008
10,0.55,000008
0,3.49,000009
1,6.44,000009
2,3.98,000009
3,4.28,000009
4,2.55,000009
5,3.08,000009
6,3.31,000009
7,3.54,000009
8,2.36,000009
9,4.01,000009
10,3.81,000009
0,4.29,000010
1,5.17,000010
2,8.81,000010
3,6.96,000010
4,12.46,000010
5,21.19,000010
6,9.54,000010
7,4.27,000010
8,4.48,000010
9,6.4,000010
10,6.04,000010
0,5.85,000011
1,11.47,000011
2,11.3,000011
3,3.26,000011
4,2.62,000011
5,2.86,000011
6,3.99,000011
7,4.93,000011
8,3.5,000011
9,6.46,000011
10,6.58,000011
0,0.68,000012
1,0.8,000012
2,1.38,000012
3,1.13,000012
4,1.07,000012
5,1.78,000012
6,1.33,000012
7,1.19,000012
8,1.13,000012
9,1.37,000012
10,1.28,000012
0,2.02,000014
1,3.18,000014
2,5.11,000014
3,1.26,000014
4,1.08,000014
5,1.37,000014
6,1.16,000014
7,1.21,000014
8,2.27,000014
9,1.73,000014
10,1.81,000014
0,0.56,000016
1,0.74,000016
2,1.67,000016
3,0.82,000016
4,0.84,000016
5,1.0,000016
6,1.28,000016
7,0.79,000016
8,1.14,000016
9,0.99,000016
10,0.94,000016
0,1.35,000017
1,1.12,000017
2,2.13,000017
3,1.31,000017
4,1.59,000017
5,1.69,000017
6,1.47,000017
7,1.24,000017
8,1.43,000017
9,1.99,000017
10,1.38,000017
0,2.17,000018
1,2.45,000018
2,3.19,000018
3,4.64,000018
4,6.69,000018
5,12.22,000018
6,9.59,000018
7,2.09,000018
8,1.5,000018
9,1.88,000018
10,1.54,000018
0,4.91,000019
1,5.84,000019
2,8.99,000019
3,5.57,000019
4,8.4,000019
5,8.97,000019
6,10.3,000019
7,15.88,000019
8,7.71,000019
9,10.24,000019
10,12.89,000019
0,1.93,000020
1,1.97,000020
2,2.62,000020
3,2.92,000020
4,2.85,000020
5,5.02,000020
6,4.98,000020
7,7.81,000020
8,8.43,000020
9,6.76,000020
10,7.86,000020
0,0.83,000021
1,1.0,000021
2,2.17,000021
3,1.47,000021
4,1.67,000021
5,1.47,000021
6,2.66,000021
7,0.84,000021
8,0.93,000021
9,1.09,000021
10,1.04,000021
0,0.19,000022
1,0.3,000022
2,0.45,000022
3,0.25,000022
4,0.26,000022
5,0.6,000022
6,0.4,000022
7,0.23,000022
8,0.45,000022
9,0.57,000022
10,0.34,000022
0,3.43,000023
1,3.94,000023
2,3.22,000023
3,5.37,000023
4,2.28,000023
5,2.49,000023
6,3.16,000023
7,2.28,000023
8,1.98,000023
9,4.03,000023
10,2.16,000023
0,1.78,000025
1,2.76,000025
2,3.99,000025
3,2.83,000025
4,3.84,000025
5,5.47,000025
6,2.15,000025
7,1.88,000025
8,1.96,000025
9,2.08,000025
10,2.91,000025
0,9.46,000026
1,3.27,000026
2,3.61,000026
3,6.59,000026
4,4.37,000026
5,12.09,000026
6,7.7,000026
7,0.85,000026
8,0.85,000026
9,1.28,000026
10,2.22,000026
0,0.12,000027
1,0.18,000027
2,0.34,000027
3,0.26,000027
4,0.3,000027
5,0.4,000027
6,0.34,000027
7,0.24,000027
8,0.2,000027
9,0.34,000027
10,0.16,000027
0,0.31,000028
1,0.85,000028
2,0.86,000028
3,1.04,000028
4,1.63,000028
5,0.82,000028
0,2.47,000029
1,2.8,000029
2,0.76,000029
3,0.6,000029
4,0.72,000029
5,0.75,000029
6,0.74,000029
7,0.81,000029
8,1.53,000029
9,1.57,000029
0,1.29,000030
1,2.46,000030
2,1.98,000030
3,2.24,000030
4,2.93,000030
5,0.71,000030
6,0.84,000030
7,0.83,000030
8,1.04,000030
9,1.03,000030
10,1.52,000030
0,0.67,000031
1,0.67,000031
2,1.38,000031
3,0.88,000031
4,0.7,000031
5,0.96,000031
6,0.72,000031
7,0.69,000031
8,0.98,000031
9,1.41,000031
10,1.86,000031
0,0.83,000032
1,0.7,000032
2,1.16,000032
3,1.22,000032
4,1.3,000032
5,1.46,000032
6,1.33,000032
7,1.18,000032
8,1.11,000032
9,1.51,000032
10,0.63,000032
0,1.24,000034
1,1.01,000034
2,1.21,000034
3,0.99,000034
4,1.4,000034
5,1.48,000034
6,1.44,000034
7,1.68,000034
8,0.91,000034
9,0.98,000034
10,0.89,000034
0,1.37,000035
0,1.75,000036
1,1.96,000036
2,4.16,000036
3,3.79,000036
4,1.42,000036
5,2.97,000036
6,1.18,000036
7,1.04,000036
8,1.11,000036
9,1.74,000036
10,1.95,000036
0,1.96,000038
1,2.18,000038
2,3.12,000038
3,4.61,000038
4,4.84,000038
5,3.73,000038
6,3.07,000038
7,2.78,000038
8,4.11,000038
9,5.23,000038
10,5.82,000038
0,0.35,000039
1,0.35,000039
2,0.73,000039
3,0.48,000039
4,0.66,000039
5,0.82,000039
6,0.53,000039
7,0.55,000039
8,0.85,000039
9,1.77,000039
10,0.87,000039
0,0.58,000040
1,1.26,000040
2,1.0,000040
3,1.77,000040
4,0.82,000040
5,1.03,000040
6,0.75,000040
7,0.94,000040
8,1.39,000040
9,1.28,000040
10,1.28,000040
0,0.38,000042
1,0.34,000042
2,0.5,000042
3,0.37,000042
4,0.5,000042
5,0.25,000042
6,0.37,000042
7,0.2,000042
8,0.23,000042
9,0.28,000042
10,0.45,000042
0,0.11,000046
1,0.11,000046
2,0.14,000046
3,0.1,000046
4,0.13,000046
5,0.2,000046
6,0.18,000046
7,0.13,000046
8,0.08,000046
9,0.09,000046
10,0.08,000046
0,0.52,000048
1,0.11,000048
2,0.22,000048
3,0.18,000048
4,0.11,000048
5,0.17,000048
6,0.2,000048
7,0.17,000048
8,0.31,000048
9,0.21,000048
10,0.16,000048
0,9.33,000049
1,6.73,000049
2,3.39,000049
3,2.68,000049
4,2.98,000049
5,4.76,000049
6,5.3,000049
7,9.3,000049
8,2.0,000049
9,1.61,000049
10,1.88,000049
0,1.6,000050
1,1.33,000050
2,2.61,000050
3,3.76,000050
4,1.42,000050
5,1.67,000050
6,2.1,000050
7,1.49,000050
0,2.23,000055
1,1.82,000055
2,2.12,000055
3,0.75,000055
4,0.7,000055
5,1.19,000055
6,1.01,000055
7,1.1,000055
8,2.15,000055
9,2.71,000055
10,2.13,000055
0,0.7,000056
1,0.5,000056
2,0.84,000056
3,0.7,000056
4,0.53,000056
5,0.79,000056
6,0.65,000056
7,0.64,000056
8,1.04,000056
9,1.12,000056
10,0.86,000056
0,1.27,000058
1,1.78,000058
2,2.21,000058
3,2.83,000058
4,2.45,000058
5,3.67,000058
6,6.64,000058
7,7.86,000058
8,1.17,000058
9,1.17,000058
10,1.06,000058
0,0.63,000059
1,0.51,000059
2,1.48,000059
3,0.9,000059
4,0.73,000059
5,1.21,000059
6,1.44,000059
7,0.93,000059
8,1.41,000059
9,1.26,000059
10,0.92,000059
0,0.68,000060
1,1.16,000060
2,2.77,000060
3,1.03,000060
4,1.08,000060
5,1.75,000060
6,1.92,000060
7,4.54,000060
8,2.41,000060
9,2.1,000060
10,0.91,000060
0,0.23,000061
1,0.17,000061
2,0.44,000061
3,0.32,000061
4,0.26,000061
5,0.52,000061
6,0.37,000061
7,0.29,000061
8,0.35,000061
9,0.62,000061
10,0.56,000061
0,0.43,000062
1,0.38,000062
2,0.94,000062
3,0.5,000062
4,0.44,000062
5,0.59,000062
6,0.67,000062
7,0.32,000062
8,0.44,000062
9,0.39,000062
10,0.46,000062
0,0.43,000063
1,0.43,000063
2,1.1,000063
3,0.9,000063
4,1.14,000063
5,1.09,000063
6,0.78,000063
7,0.47,000063
8,0.42,000063
9,0.81,000063
10,0.41,000063
0,2.5,000065
1,3.47,000065
2,0.96,000065
3,0.87,000065
4,0.96,000065
5,0.81,000065
6,0.96,000065
7,0.86,000065
8,0.72,000065
9,0.73,000065
10,1.54,000065
0,0.65,000066
1,0.61,000066
